run_id,label,n,ods,gap_var,first_half_ods
cpu_att_000,CPU_ATT,20,0.036842,0.720222,0.088889
cpu_att_001,CPU_ATT,20,0.021053,0.337950,0.066667
cpu_att_002,CPU_ATT,20,0.036842,0.864266,0.111111
cpu_att_003,CPU_ATT,20,0.010526,0.132964,0.000000
cpu_att_004,CPU_ATT,20,0.057895,1.673130,0.111111
cpu_att_005,CPU_ATT,20,0.031579,0.980609,0.133333
cpu_att_006,CPU_ATT,20,0.026316,0.459834,0.066667
cpu_att_007,CPU_ATT,20,0.026316,1.196676,0.000000
cpu_att_008,CPU_ATT,20,0.026316,0.670360,0.088889
cpu_att_009,CPU_ATT,20,0.047368,3.988920,0.155556
cpu_att_010,CPU_ATT,20,0.021053,0.454294,0.022222
cpu_att_011,CPU_ATT,20,0.031579,1.191136,0.111111
cpu_att_012,CPU_ATT,20,0.015789,0.193906,0.044444
cpu_att_013,CPU_ATT,20,0.052632,1.157895,0.133333
cpu_att_014,CPU_ATT,20,0.005263,0.049861,0.000000
cpu_att_015,CPU_ATT,20,0.021053,0.443213,0.022222
cpu_att_016,CPU_ATT,20,0.026316,0.459834,0.022222
cpu_att_017,CPU_ATT,20,0.021053,0.443213,0.044444
cpu_att_018,CPU_ATT,20,0.010526,0.166205,0.022222
cpu_att_019,CPU_ATT,20,0.036842,0.759003,0.111111
cpu_att_020,CPU_ATT,20,0.000000,0.000000,0.000000
cpu_att_021,CPU_ATT,20,0.021053,0.548476,0.022222
cpu_att_022,CPU_ATT,20,0.010526,0.166205,0.022222
cpu_att_023,CPU_ATT,20,0.042105,1.850416,0.155556
cpu_att_024,CPU_ATT,20,0.015789,0.299169,0.044444
cpu_att_025,CPU_ATT,20,0.021053,0.559557,0.000000
cpu_att_026,CPU_ATT,20,0.042105,0.764543,0.111111
cpu_att_027,CPU_ATT,20,0.052632,0.947368,0.111111
cpu_att_028,CPU_ATT,20,0.005263,0.094183,0.022222
cpu_att_029,CPU_ATT,20,0.063158,5.113573,0.088889
cpu_att_030,CPU_ATT,20,0.021053,0.653740,0.066667
cpu_att_031,CPU_ATT,20,0.031579,0.864266,0.088889
cpu_att_032,CPU_ATT,20,0.042105,1.036011,0.111111
cpu_att_033,CPU_ATT,20,0.047368,0.936288,0.088889
cpu_att_034,CPU_ATT,20,0.036842,1.878116,0.133333
cpu_att_035,CPU_ATT,20,0.021053,0.443213,0.044444
cpu_att_036,CPU_ATT,20,0.021053,0.664820,0.088889
cpu_att_037,CPU_ATT,20,0.057895,10.343490,0.000000
cpu_att_038,CPU_ATT,20,0.021053,0.216066,0.044444
cpu_att_039,CPU_ATT,20,0.026316,0.354571,0.066667
cpu_att_040,CPU_ATT,20,0.010526,0.132964,0.022222
cpu_att_041,CPU_ATT,20,0.036842,0.664820,0.022222
cpu_att_042,CPU_ATT,20,0.026316,0.670360,0.088889
cpu_att_043,CPU_ATT,20,0.015789,0.299169,0.022222
cpu_att_044,CPU_ATT,20,0.015789,0.166205,0.022222
cpu_att_045,CPU_ATT,20,0.031579,0.459834,0.022222
cpu_att_046,CPU_ATT,20,0.047368,1.501385,0.111111
cpu_att_047,CPU_ATT,20,0.036842,0.670360,0.022222
cpu_att_048,CPU_ATT,20,0.031579,0.653740,0.066667
cpu_att_049,CPU_ATT,20,0.036842,0.825485,0.111111
cpu_att_050,CPU_ATT,20,0.052632,3.191136,0.022222
cpu_att_051,CPU_ATT,20,0.057895,0.947368,0.088889
cpu_att_052,CPU_ATT,20,0.042105,2.764543,0.133333
cpu_att_053,CPU_ATT,20,0.010526,0.132964,0.022222
cpu_att_054,CPU_ATT,20,0.031579,0.759003,0.111111
cpu_att_055,CPU_ATT,20,0.015789,0.531856,0.000000
cpu_att_056,CPU_ATT,20,0.015789,0.193906,0.044444
cpu_att_057,CPU_ATT,20,0.021053,0.337950,0.044444
cpu_att_058,CPU_ATT,20,0.036842,0.459834,0.022222
cpu_att_059,CPU_ATT,20,0.036842,1.878116,0.133333
cpu_att_060,CPU_ATT,20,0.036842,0.759003,0.111111
cpu_att_061,CPU_ATT,20,0.036842,1.036011,0.088889
cpu_att_062,CPU_ATT,20,0.015789,0.216066,0.044444
cpu_att_063,CPU_ATT,20,0.063158,1.883657,0.088889
cpu_att_064,CPU_ATT,20,0.047368,4.620499,0.177778
cpu_att_065,CPU_ATT,20,0.026316,0.670360,0.088889
cpu_att_066,CPU_ATT,20,0.036842,1.058172,0.066667
cpu_att_067,CPU_ATT,20,0.047368,1.252078,0.111111
cpu_att_068,CPU_ATT,20,0.042105,1.639889,0.133333
cpu_att_069,CPU_ATT,20,0.042105,0.797784,0.066667
cpu_att_070,CPU_ATT,20,0.000000,0.000000,0.000000
cpu_att_071,CPU_ATT,20,0.015789,0.193906,0.022222
cpu_att_072,CPU_ATT,20,0.021053,0.299169,0.000000
cpu_att_073,CPU_ATT,20,0.036842,1.584488,0.088889
cpu_att_074,CPU_ATT,20,0.047368,1.883657,0.133333
cpu_att_075,CPU_ATT,20,0.031579,0.759003,0.088889
cpu_att_076,CPU_ATT,20,0.015789,0.216066,0.044444
cpu_att_077,CPU_ATT,20,0.010526,0.132964,0.022222
cpu_att_078,CPU_ATT,20,0.021053,0.454294,0.022222
cpu_att_079,CPU_ATT,20,0.036842,0.742382,0.088889
cpu_att_080,CPU_ATT,20,0.057895,1.102493,0.111111
cpu_att_081,CPU_ATT,20,0.036842,0.742382,0.111111
cpu_att_082,CPU_ATT,20,0.036842,0.653740,0.088889
cpu_att_083,CPU_ATT,20,0.015789,0.299169,0.022222
cpu_att_084,CPU_ATT,20,0.005263,0.049861,0.022222
cpu_att_085,CPU_ATT,20,0.005263,0.049861,0.022222
cpu_att_086,CPU_ATT,20,0.042105,1.036011,0.111111
cpu_att_087,CPU_ATT,20,0.036842,0.952909,0.133333
cpu_att_088,CPU_ATT,20,0.026316,0.354571,0.022222
cpu_att_089,CPU_ATT,20,0.047368,1.883657,0.133333
cpu_att_090,CPU_ATT,20,0.005263,0.094183,0.022222
cpu_att_091,CPU_ATT,20,0.052632,1.734072,0.133333
cpu_att_092,CPU_ATT,20,0.005263,0.094183,0.022222
cpu_att_093,CPU_ATT,20,0.031579,1.191136,0.088889
cpu_att_094,CPU_ATT,20,0.047368,0.975069,0.111111
cpu_att_095,CPU_ATT,20,0.052632,0.947368,0.111111
cpu_att_096,CPU_ATT,20,0.036842,0.531856,0.088889
cpu_att_097,CPU_ATT,20,0.031579,0.759003,0.111111
cpu_att_098,CPU_ATT,20,0.036842,0.847645,0.088889
cpu_att_099,CPU_ATT,20,0.005263,0.049861,0.022222
mem_att_000,MEM_ATT,20,0.010526,0.132964,0.044444
mem_att_001,MEM_ATT,20,0.068421,4.864266,0.155556
mem_att_002,MEM_ATT,20,0.068421,5.390582,0.177778
mem_att_003,MEM_ATT,20,0.068421,5.268698,0.155556
mem_att_004,MEM_ATT,20,0.063158,3.850416,0.133333
mem_att_005,MEM_ATT,20,0.010526,0.132964,0.022222
mem_att_006,MEM_ATT,20,0.068421,4.548476,0.155556
mem_att_007,MEM_ATT,20,0.089474,10.847645,0.177778
mem_att_008,MEM_ATT,20,0.057895,2.725762,0.133333
mem_att_009,MEM_ATT,20,0.073684,5.085873,0.155556
mem_att_010,MEM_ATT,20,0.078947,5.927978,0.155556
mem_att_011,MEM_ATT,20,0.078947,5.828255,0.155556
mem_att_012,MEM_ATT,20,0.068421,3.373961,0.133333
mem_att_013,MEM_ATT,20,0.036842,0.742382,0.111111
mem_att_014,MEM_ATT,20,0.042105,0.692521,0.066667
mem_att_015,MEM_ATT,20,0.063158,3.850416,0.133333
mem_att_016,MEM_ATT,20,0.063158,1.817175,0.088889
mem_att_017,MEM_ATT,20,0.073684,5.717452,0.177778
mem_att_018,MEM_ATT,20,0.021053,0.443213,0.066667
mem_att_019,MEM_ATT,20,0.068421,3.689751,0.133333
mem_att_020,MEM_ATT,20,0.073684,3.008310,0.111111
mem_att_021,MEM_ATT,20,0.063158,3.772853,0.133333
mem_att_022,MEM_ATT,20,0.015789,0.216066,0.044444
mem_att_023,MEM_ATT,20,0.073684,5.085873,0.155556
mem_att_024,MEM_ATT,20,0.005263,0.049861,0.022222
mem_att_025,MEM_ATT,20,0.021053,0.337950,0.066667
mem_att_026,MEM_ATT,20,0.073684,6.880886,0.155556
mem_att_027,MEM_ATT,20,0.078947,6.459834,0.177778
mem_att_028,MEM_ATT,20,0.015789,0.193906,0.044444
mem_att_029,MEM_ATT,20,0.057895,2.620499,0.111111
mem_att_030,MEM_ATT,20,0.063158,2.797784,0.111111
mem_att_031,MEM_ATT,20,0.073684,4.664820,0.155556
mem_att_032,MEM_ATT,20,0.026316,0.670360,0.088889
mem_att_033,MEM_ATT,20,0.031579,0.354571,0.066667
mem_att_034,MEM_ATT,20,0.063158,4.614958,0.155556
mem_att_035,MEM_ATT,20,0.057895,2.554017,0.088889
mem_att_036,MEM_ATT,20,0.068421,4.337950,0.155556
mem_att_037,MEM_ATT,20,0.021053,0.216066,0.022222
mem_att_038,MEM_ATT,20,0.073684,6.459834,0.177778
mem_att_039,MEM_ATT,20,0.068421,3.373961,0.133333
mem_att_040,MEM_ATT,20,0.015789,0.166205,0.044444
mem_att_041,MEM_ATT,20,0.073684,4.875346,0.155556
mem_att_042,MEM_ATT,20,0.068421,5.074792,0.155556
mem_att_043,MEM_ATT,20,0.057895,3.606648,0.133333
mem_att_044,MEM_ATT,20,0.078947,4.664820,0.155556
mem_att_045,MEM_ATT,20,0.078947,6.559557,0.155556
mem_att_046,MEM_ATT,20,0.026316,0.775623,0.066667
mem_att_047,MEM_ATT,20,0.073684,3.639889,0.133333
mem_att_048,MEM_ATT,20,0.052632,3.102493,0.066667
mem_att_049,MEM_ATT,20,0.068421,3.373961,0.133333
mem_att_050,MEM_ATT,20,0.057895,2.725762,0.133333
mem_att_051,MEM_ATT,20,0.073684,6.232687,0.177778
mem_att_052,MEM_ATT,20,0.084211,6.127424,0.133333
mem_att_053,MEM_ATT,20,0.073684,6.459834,0.177778
mem_att_054,MEM_ATT,20,0.073684,5.301939,0.155556
mem_att_055,MEM_ATT,20,0.057895,2.515235,0.088889
mem_att_056,MEM_ATT,20,0.073684,6.459834,0.177778
mem_att_057,MEM_ATT,20,0.026316,0.459834,0.044444
mem_att_058,MEM_ATT,20,0.036842,0.637119,0.044444
mem_att_059,MEM_ATT,20,0.100000,16.155125,0.000000
mem_att_060,MEM_ATT,20,0.068421,4.426593,0.155556
mem_att_061,MEM_ATT,20,0.078947,14.459834,0.022222
mem_att_062,MEM_ATT,20,0.063158,5.141274,0.155556
mem_att_063,MEM_ATT,20,0.042105,0.692521,0.066667
mem_att_064,MEM_ATT,20,0.073684,5.822715,0.155556
mem_att_065,MEM_ATT,20,0.063158,4.930748,0.155556
mem_att_066,MEM_ATT,20,0.073684,5.822715,0.155556
mem_att_067,MEM_ATT,20,0.084211,5.163435,0.133333
mem_att_068,MEM_ATT,20,0.073684,3.822715,0.088889
mem_att_069,MEM_ATT,20,0.036842,0.509695,0.066667
mem_att_070,MEM_ATT,20,0.047368,2.831025,0.155556
mem_att_071,MEM_ATT,20,0.068421,3.584488,0.133333
mem_att_072,MEM_ATT,20,0.052632,4.891967,0.155556
mem_att_073,MEM_ATT,20,0.068421,4.759003,0.133333
mem_att_074,MEM_ATT,20,0.047368,0.614958,0.088889
mem_att_075,MEM_ATT,20,0.073684,5.717452,0.155556
mem_att_076,MEM_ATT,20,0.073684,4.880886,0.133333
mem_att_077,MEM_ATT,20,0.073684,4.349030,0.133333
mem_att_078,MEM_ATT,20,0.073684,3.495845,0.111111
mem_att_079,MEM_ATT,20,0.073684,4.759003,0.133333
mem_att_080,MEM_ATT,20,0.078947,5.085873,0.155556
mem_att_081,MEM_ATT,20,0.063158,4.692521,0.155556
mem_att_082,MEM_ATT,20,0.078947,3.711911,0.088889
mem_att_083,MEM_ATT,20,0.021053,0.349030,0.044444
mem_att_084,MEM_ATT,20,0.063158,3.351801,0.133333
mem_att_085,MEM_ATT,20,0.063158,3.878116,0.155556
mem_att_086,MEM_ATT,20,0.068421,3.916898,0.133333
mem_att_087,MEM_ATT,20,0.094737,24.088643,0.000000
mem_att_088,MEM_ATT,20,0.052632,3.894737,0.155556
mem_att_089,MEM_ATT,20,0.000000,0.000000,0.000000
mem_att_090,MEM_ATT,20,0.073684,4.664820,0.133333
mem_att_091,MEM_ATT,20,0.073684,17.091413,0.000000
mem_att_092,MEM_ATT,20,0.068421,3.373961,0.133333
mem_att_093,MEM_ATT,20,0.068421,4.720222,0.155556
mem_att_094,MEM_ATT,20,0.068421,4.110803,0.133333
mem_att_095,MEM_ATT,20,0.047368,1.883657,0.111111
mem_att_096,MEM_ATT,20,0.068421,4.548476,0.133333
mem_att_097,MEM_ATT,20,0.063158,2.930748,0.133333
mem_att_098,MEM_ATT,20,0.073684,3.811634,0.133333
mem_att_099,MEM_ATT,20,0.026316,0.354571,0.066667
